Query 11: [-106.722, 40.7024, -101.309, 41.6392]	Intersections (8) : 	[551, 4159, 4033, 9995, 7306, 6980, 4029, 5021]
Query 12: [-110.146, 37.8276, -103.464, 38.5863]	Intersections (16) : 	[6833, 5593, 8893, 7470, 7811, 3594, 4510, 6150, 6677, 3524, 5027, 8272, 21, 7921, 2261, 9279]
Query 13: [-96.3163, 35.1401, -92.2066, 36.3738]	Intersections (103) : 	[3797, 7459, 9669, 6565, 4600, 7915, 6090, 567, 534, 4102, 1126, 635, 4486, 1380, 6412, 2514, 99, 7610, 675, 9157, 9759, 352, 5041, 5098, 3854, 9002, 1003, 8537, 4755, 6990, 3393, 1714, 4189, 7021, 5675, 5045, 2574, 9779, 4971, 8362, 7391, 4730, 2052, 9644, 5873, 3997, 2300, 7729, 511, 4828, 8507, 2128, 8046, 2367, 6319, 5414, 5914, 5600, 22, 3463, 6454, 517, 8397, 7031, 8591, 4141, 2578, 1651, 6587, 5099, 7731, 3135, 2782, 9294, 452, 9466, 7825, 7272, 1022, 6382, 6247, 8089, 9238, 390, 71, 7721, 4525, 9454, 7644, 8880, 3170, 2484, 1783, 2281, 8707, 5738, 4203, 768, 5247, 1436, 6680, 3936, 3794]
Query 14: [-96.7639, 36.4774, -92.5539, 37.6816]	Intersections (91) : 	[5120, 4234, 9416, 6668, 1890, 4846, 8071, 5234, 5201, 4282, 4569, 9559, 7738, 6660, 5366, 2059, 118, 5804, 1122, 1341, 4623, 9050, 5494, 6940, 9982, 6805, 6398, 9054, 1550, 2353, 8163, 2539, 819, 5885, 1105, 2878, 8947, 7420, 8683, 7026, 5822, 5305, 6405, 7419, 9565, 5253, 7320, 7638, 2363, 3156, 9590, 9287, 1542, 4884, 1075, 3281, 1621, 6584, 5203, 8799, 6930, 8676, 833, 2115, 3182, 4249, 4657, 8231, 8161, 1709, 9861, 6551, 1275, 9513, 9538, 8000, 190, 3953, 3123, 1706, 1731, 8245, 403, 8251, 1587, 2326, 8442, 9187, 2086, 5052, 7559]
Query 15: [-113.364, 40.1344, -107.316, 40.9727]	Intersections (23) : 	[1792, 2032, 8976, 3069, 8692, 6331, 5896, 3253, 234, 7564, 1639, 6497, 3251, 3193, 2779, 4050, 5024, 5212, 9734, 4703, 4559, 3761, 9698]
Query 16: [-98.3043, 33.5981, -94.212, 34.8371]	Intersections (54) : 	[8034, 4144, 1392, 2597, 7751, 182, 5090, 5587, 2174, 1354, 5168, 8805, 9132, 8617, 8672, 3093, 2007, 5377, 3572, 1376, 7078, 7195, 4636, 3709, 8184, 7743, 5365, 7479, 3413, 4146, 4099, 8766, 9284, 5363, 5255, 9521, 1572, 6970, 2530, 7678, 1067, 7918, 1004, 2163, 9809, 2828, 4567, 7022, 4992, 9141, 5556, 3173, 8579, 1845]
Query 17: [-90.3762, 33.0954, -82.3626, 33.7281]	Intersections (104) : 	[7295, 3333, 4151, 8033, 2471, 503, 1468, 7214, 2758, 3474, 3131, 31, 800, 9210, 7541, 1292, 2385, 2428, 565, 9120, 7429, 1278, 7372, 2735, 1432, 2424, 7593, 7664, 3627, 1444, 4379, 6534, 1703, 8607, 8716, 3752, 6710, 4497, 9603, 7642, 6061, 5696, 6611, 5290, 6229, 210, 9334, 1500, 6563, 6826, 6811, 2845, 726, 702, 5598, 5602, 2270, 6727, 400, 6122, 9423, 5440, 2517, 952, 4928, 5158, 1038, 1615, 3443, 1758, 8979, 1269, 8422, 3311, 101, 3588, 2350, 9591, 4578, 4347, 1134, 5644, 8949, 9816, 4587, 6678, 5819, 9884, 1517, 5051, 917, 2136, 6104, 5232, 5000, 6420, 2687, 1140, 5230, 3667, 6301, 3992, 1960, 6643]
Query 18: [-116.304, 33.6367, -79.2917, 33.7737]	Intersections (50) : 	[2554, 1162, 2735, 6230, 2424, 7593, 4379, 182, 1976, 6710, 8308, 2174, 9603, 6474, 9132, 6611, 9334, 6975, 1500, 6563, 5602, 3623, 135, 7479, 8566, 6122, 9421, 4586, 6058, 1557, 8459, 5158, 3718, 1269, 2530, 1433, 3511, 9591, 4567, 9391, 9884, 8037, 3355, 461, 9375, 6420, 1144, 8631, 8957, 8798]
Query 19: [-108.584, 35.3291, -104.669, 36.6241]	Intersections (11) : 	[8803, 7117, 5475, 7656, 2335, 1453, 9683, 1695, 9661, 1497, 7944]
Query 20: [-110.395, 42.3677, -104.38, 43.2106]	Intersections (9) : 	[4524, 6681, 9821, 8404, 5036, 1978, 5812, 6257, 6215]
Query 21: [-93.2049, 33.8997, -89.144, 35.1482]	Intersections (86) : 	[90, 4459, 5348, 5209, 673, 8954, 5391, 4724, 8867, 1003, 1806, 9268, 955, 4279, 8701, 2770, 4685, 2585, 8777, 3611, 9258, 6293, 7866, 6841, 664, 7955, 9089, 5778, 8312, 4168, 6709, 4484, 9039, 9348, 7872, 1336, 9023, 540, 3016, 6872, 748, 9753, 2441, 3747, 4158, 5728, 20, 4027, 7255, 7083, 1116, 8903, 7715, 2900, 3014, 119, 6767, 2757, 1995, 4095, 23, 6440, 3598, 6968, 1411, 2596, 7014, 9371, 3901, 5096, 5775, 1837, 9814, 3327, 9477, 8969, 9366, 1597, 4627, 4495, 7086, 8437, 3823, 2099, 1820, 8394]
Query 22: [-106.215, 36.5524, -98.8948, 37.245]	Intersections (14) : 	[1889, 5367, 3437, 2930, 6488, 1891, 46, 5582, 1264, 7850, 4891, 3158, 3890, 759]
Query 23: [-101.663, 43.3783, -97.528, 44.6044]	Intersections (23) : 	[9693, 8561, 8526, 4641, 1334, 2736, 5279, 8109, 7373, 7781, 8575, 8100, 9828, 9642, 872, 4830, 2487, 1027, 2545, 2203, 6533, 4241, 902]
Query 24: [-97.0087, 38.5142, -92.3724, 39.6078]	Intersections (96) : 	[713, 3031, 7924, 9987, 2330, 8910, 5080, 1768, 3185, 8165, 7923, 6073, 120, 6294, 3631, 764, 6282, 3508, 4990, 7877, 1150, 6780, 6661, 2754, 9525, 6714, 3346, 1006, 718, 1277, 1044, 3107, 3999, 3364, 3325, 8842, 7333, 9349, 8019, 1980, 6842, 9974, 2294, 2489, 1018, 8090, 1682, 2794, 1179, 666, 1241, 8882, 1506, 7337, 1710, 7849, 5478, 760, 3812, 3246, 3394, 559, 5792, 4298, 684, 6374, 8787, 1496, 9699, 5898, 927, 6389, 288, 9362, 7829, 5404, 5346, 8480, 2297, 7936, 8892, 1875, 4606, 2496, 9787, 3962, 4133, 3048, 9303, 9794, 475, 6902, 9276, 9741, 2738, 8693]
Query 25: [-111.536, 39.9761, -105.466, 40.8113]	Intersections (10) : 	[1792, 2032, 8976, 3069, 6331, 3253, 234, 1639, 9734, 4703]
Query 26: [-108.055, 34.2887, -103.765, 35.4703]	Intersections (30) : 	[9064, 72, 2306, 1864, 361, 4208, 3773, 6954, 7656, 8380, 2548, 2579, 6540, 676, 4336, 7080, 7042, 9573, 757, 186, 2819, 9694, 873, 9889, 6209, 5509, 7823, 3721, 2929, 8375]
Query 27: [-116.279, 44.4789, -111.85, 45.6236]	Intersections (4) : 	[2452, 4513, 645, 7889]
Query 28: [-116.663, 36.7775, -112.212, 37.9164]	Intersections (9) : 	[3293, 7613, 770, 7806, 4663, 6693, 158, 117, 4725]
Query 29: [-116.4, 39.6436, -111.798, 40.7452]	Intersections (13) : 	[5380, 8692, 2106, 5896, 7564, 6497, 9946, 3193, 2779, 4050, 5024, 5212, 4105]
Query 30: [-96.9472, 42.1515, -91.5342, 43.0881]	Intersections (94) : 	[3418, 501, 5988, 3652, 2153, 590, 5620, 6836, 1260, 370, 4243, 2549, 1471, 3363, 1893, 5682, 8659, 3545, 8602, 7521, 7765, 2375, 4966, 3745, 3930, 3513, 5798, 4696, 4963, 5781, 7179, 6372, 1721, 6617, 5614, 8105, 7269, 9025, 3956, 1053, 5986, 3873, 5224, 7475, 500, 3472, 6445, 6112, 7128, 3206, 5221, 3090, 1567, 1012, 421, 459, 9372, 3331, 1979, 9170, 5938, 6887, 9076, 8122, 8075, 6039, 4736, 3994, 2361, 8201, 9973, 3932, 8802, 9685, 7859, 7602, 4209, 7171, 6033, 2290, 1899, 39, 3828, 685, 2995, 7713, 3165, 4748, 7675, 7193, 1685, 8530, 2066, 6874]
